Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,Human cytomegalovirus infection,0.427,2.070,0.016,0.072,0.109,80/223,22.29%,IL6;CXCL8;CDK6;IL1B;ITGB3;PTGS2;PDGFRA;CCL3;GNG4;GNB4;CCL4;CCL4L2;AKT3;CCL3L3;CXCL12;CGAS;FAS;E2F2;CCL2;ADCY3;CREB5;CCR1;CCR5;IFNA4;GNG2;PTGER2;FADD;GNG10;PRKCG;IFNA1;CXCR2;GNGT2;ITGAV;MAPK11;IL10RA;BCAR1;MYC;PTGER1;PTGER4;MAPK12;GNA12;TAP2;CCR3;CDKN1A;PRKCA;PXN;EIF4EBP1;HLA-G;BID;TAP1;GNA13;FASLG;NRAS;PIK3CA;GNG5;GNAI3;IFNA8;RB1;ADCY4;RAC2;CCL5;IFNA13;E2F1;E2F3;CXCR4;TNFRSF1A;RAC3;GNB5;IFNB1;PRKACB;GNAI2;PLCB1;JAK1;CCND1;PIK3CD;GNG11;MAP2K1;ELK1;GNG12;PLCB4
gsea,Transcriptional misregulation in cancer,0.463,2.049,0.002,0.076,0.124,65/189,17.25%,IL6;IL1R2;WT1;CXCL8;MMP3;GZMB;HMGA2;IGF1;CCNA2;PLAU;FCGR1A;CDK14;MMP9;NR4A3;PPARG;BCL2A1;FLT1;HOXA11;MITF;MPO;ZEB1;SLC45A3;BMP2K;CD86;BIRC3;IL2RB;ITGB7;H3C2;RUNX2;ITGAM;IGFBP3;PLAT;CCNA1;MET;HOXA9;H3C10;MAF;DEFA3;GADD45A;GRIA3;H3C3;HOXA10;MYC;CD14;CEBPE;CSF1R;CDKN1A;PML;GADD45B;TLX1;CD40;FLI1;SPI1;PAX8;CEBPB;RUNX1T1;H3C15;H3C11;H3C12;FOXO1;H3C7;ERG;HDAC2;TLX3;H3C1
gsea,HIF-1 signaling pathway,0.446,2.028,0.004,0.078,0.136,40/109,19.31%,IL6;ANGPT2;EGLN3;SERPINE1;IGF1;SLC2A1;TLR4;FLT1;ALDOA;AKT3;PFKP;HK3;IFNG;PDK1;HK2;NOS2;LDHAL6B;PRKCG;EGLN1;HIF1A;CDKN1A;CYBB;TEK;PRKCA;EDN1;EIF4EBP1;HMOX1;NOS3;TIMP1;TFRC;PIK3CA;PFKFB3;PDHA2;EIF4E;ALDOC;CAMK2A;LDHA;LDHC;GAPDH;CUL2
gsea,Chemokine signaling pathway,0.545,2.006,0.012,0.084,0.16,71/189,14.68%,CCL26;CCL7;CXCL5;CXCL8;CCL11;CCL24;CXCL3;CCL8;CXCR1;PPBP;CXCL1;PF4;CCL3;CXCL6;GNG4;CCL20;GNB4;CCL4;CCL4L2;CCL21;AKT3;SHC4;CCL3L3;CXCL11;CCL1;CXCL12;CXCL10;NCF1;CCL2;CCR8;ADCY3;CCL18;CCR1;CCR5;GNG2;GNG10;PIK3CG;PF4V1;DOCK2;CCL13;CCR10;PIK3R5;CCL23;CXCR2;GNGT2;GRK5;TIAM1;CXCL9;BCAR1;CXCR6;JAK2;FGR;CCL22;RAP1B;CCR3;HCK;PXN;JAK3;PREX1;CXCL13;CCR2;XCL2;WAS;VAV3;VAV1;NRAS;ITK;PIK3CA;GNG5;GNAI3;CXCR3
gsea,Kaposi sarcoma-associated herpesvirus infection,0.424,2.003,0.012,0.080,0.163,48/193,14.98%,IL6;CXCL8;CXCL3;ANGPT2;CDK6;PTGS2;CXCL1;FGF2;GNG4;GNB4;PDGFB;AKT3;CD86;CLEC2B;FAS;E2F2;CCR8;LEF1;CCR1;CCR5;IFNA4;GNG2;FADD;GNG10;PIK3CG;IFNA1;PIK3R5;MICB;GNGT2;MAPK11;MYC;MAPK12;JAK2;RCAN1;HIF1A;CCR3;CDKN1A;HCK;TICAM1;PREX1;HLA-G;BID;NRAS;PIK3CA;GNG5;IFNA8;TRAF3;RB1
gsea,Natural killer cell mediated cytotoxicity,0.554,1.999,0.006,0.076,0.167,50/124,17.27%,FCGR3B;GZMB;RAET1E;ULBP2;KLRC1;NCR1;KLRC2;KLRD1;RAET1L;KIR2DL3;KLRC3;SH2D1B;SHC4;KIR3DL3;KIR3DL2;RAET1G;FAS;IFNG;KIR3DL1;KIR2DS4;FCGR3A;IFNA4;PRKCG;IFNA1;HCST;LCP2;MICB;SH2D1A;KIR2DL1;PRKCA;FCER1G;PRF1;HLA-G;VAV3;VAV1;CD247;BID;CD244;ICAM2;LCK;FASLG;NRAS;PIK3CA;ITGB2;SH3BP2;IFNA8;TNFRSF10A;VAV2;RAC2;IFNA13
gsea,Glycosaminoglycan biosynthesis,0.560,1.995,0.001,0.073,0.17,25/53,16.09%,HS3ST3A1;DSE;CHST1;XYLT1;CHST3;HS3ST3B1;CHST11;CHSY3;CSGALNACT1;CHSY1;EXTL1;EXTL3;CHST4;CHST6;ST3GAL2;NDST3;CHST15;B4GALT4;HS3ST1;CSGALNACT2;EXT1;CHPF;HS2ST1;B4GALT1;EXTL2
gsea,Regulation of actin cytoskeleton,0.438,1.991,0.006,0.070,0.171,71/216,14.43%,ITGA11;DIAPH3;FGF7;FGF5;LPAR4;ITGB3;ITGA5;ARHGEF4;PDGFRA;MYLK;ITGA2;FGF2;BDKRB1;PDGFB;WASF1;MYLK2;IQGAP3;FGF1;FGD1;LPAR5;ITGB8;CXCL12;FGF23;BDKRB2;ITGA6;ITGB7;ITGAM;ARPC1B;INSRR;ITGB4;PDGFRB;CHRM4;ACTN1;MRAS;FGF16;FGFR1;ITGA1;FN1;SSH1;ITGAV;PFN3;TIAM1;F2R;ITGA4;BCAR1;PIP4K2A;MYL10;VCL;ITGAX;NCKAP1L;LPAR1;GNA12;ITGB5;PDGFC;PXN;APC2;MYL9;VAV3;PFN2;VAV1;GNA13;LIMK1;MYH11;ITGA3;MYL2;FGF3;NRAS;RDX;PIK3CA;ITGB2;PPP1R12A
gsea,NOD-like receptor signaling pathway,0.448,1.980,0.012,0.070,0.175,57/178,17.27%,IL6;CXCL8;CXCL3;MEFV;IL1B;AIM2;CASP5;CXCL1;NLRP12;GBP5;TLR4;NLRP3;DEFB4A;ANTXR1;TNFAIP3;BIRC3;GBP1;NAMPT;NLRP7;CCL2;TRPM2;NOD2;ANTXR2;IFNA4;FADD;RIPK2;IFNA1;DEFA3;GBP4;NAIP;TRPV2;GBP2;MAPK11;GBP3;PANX1;MAPK12;NLRC4;IFI16;CYBB;DEFB103B;PSTPIP1;TICAM1;OAS1;DEFB4B;OAS3;P2RX7;IL18;CARD6;IFNA8;TRAF3;CXCL2;OAS2;STAT1;CTSB;DNM1L;CCL5;IFNA13
gsea,Tuberculosis,0.476,1.962,0.015,0.075,0.194,48/177,12.73%,IL6;SPHK1;IL1A;FCGR3B;CLEC4E;CD209;TLR6;IL1B;FCGR1A;FCGR2B;TGFB3;TLR4;IL10;IL23A;AKT3;LBP;IFNG;IRAK2;ITGAM;NOD2;NOS2;FCGR3A;IFNA4;FADD;CR1;RIPK2;IFNA1;PLA2R1;TLR1;TGFB2;MRC2;MRC1;FCGR2A;MAPK11;IL10RA;MAPK12;BCL10;CD14;CYP27B1;ITGAX;JAK2;PLK3;FCER1G;ATP6V0D2;VDR;CLEC7A;BID;LSP1
